User,Difficulty,Score
pRANJ,easy,35.11141639052914
Prnjal,easy,57.07222112871534
pranj,easy,54.63921513869794
Pranjal,hard,-171.06007323064827
Pranjal,easy,73.14069494387844
Bandhan,easy,85.68080869957323
KADSF,easy,-18.8631911584099
global,easy,85.68080869957323
global,hard,-171.06007323064827
